Cartes rejetees
Joueur;Dimension;Locomotion;Equipement1;Equipement2;Equipement3
J 1;VehiculeLeger;Ballon;LaboratoiredAnalyses;EquipementsDeFurtivite;KitDeSoinsdUrgence
J 2;VehiculeLeger;Roues;Toboggan;Cuisine;StationDeJeu
Tour 1
Joueur;Dimension;Loco;Conduite;Equi1;Equi2;Equi3
J 2;TresGrandeCapacite;Helices;;M CanonaPeinture;P ScanneraRayonsX;A SynthetiseurDeSons
Joueur;Perso;Environnement;SR+;SR-;SD+;SD-;ER+;ER-;ED+;ED-;UR+;UR-;UD+;UD-
1;Dimitri;Banlieue,;8;0;0;0;0;0;0;0;0;0;0;0;
Vainqueur: J 1
Tour 2
Joueur;Dimension;Loco;Conduite;Equi1;Equi2;Equi3
J 1;PetitRobot;Helices;Autonome;M Pass;P KitDeReparation;A Panneaux solaires
Joueur;Perso;Environnement;SR+;SR-;SD+;SD-;ER+;ER-;ED+;ED-;UR+;UR-;UD+;UD-
2;Gaetan;Banlieue,;8;0;0;0;0;0;0;0;0;0;0;0;
Vainqueur: J 2
