Cartes rejetees
Joueur;Dimension;Locomotion;Equipement1;Equipement2;Equipement3
J 1;VehiculeIntermediaire;Helices;CanonaPeinture;LaboratoiredAnalyses;CentraleDeRecyclage
J 2;GrandVehiculeIntermediaire;Pattes;Imprimante3D;RampedAcces;KitOlfactif
Tour no° 1
Joueur;Dimension;Loco;Conduite;Equi1;Equi2;Equi3
J 2;GrandeCapacite;Rebondir;;M Pass;P OutilDePiratageNumerique;A SiegeEjectable
Joueur;Perso;Environnement;SR+;SR-;SD+;SD-;ER+;ER-;ED+;ED-;UR+;UR-;UD+;UD-
1;Dominik;Ville;8;0;0;0;0;0;0;0;0;0;0;0;
Vainqueur: J 1
Tour no° 2
Joueur;Dimension;Loco;Conduite;Equi1;Equi2;Equi3
J 1;PetitRobot;Flottaison;;M Pass;M StationDeJeu;P StudiodEnregistrement;A EquipementsFitness
Joueur;Perso;Environnement;SR+;SR-;SD+;SD-;ER+;ER-;ED+;ED-;UR+;UR-;UD+;UD-
2;Judith;Campagne,;8;0;0;0;0;0;0;0;0;0;0;0;
Vainqueur: J 2
