Cartes rejetees
Joueur;Dimension;Locomotion;Equipement1;Equipement2;Equipement3
J 1;PetitRobot;Rampant;SystemedEclairage;StudiodEnregistrement;SystemedArrosage
J 2;GrandeCapacite;Ailes;CanonaPeinture;Panneaux solaires;KitDeChangementdApparence
Tour 1
Joueur;Dimension;Loco;Conduite;Equi1;Equi2;Equi3
J 1;GrandVehiculeLourd;Helices;;M SondesDeMesure;P StationDeJeu;A KitOlfactif
Joueur;Perso;Environnement;SR+;SR-;SD+;SD-;ER+;ER-;ED+;ED-;UR+;UR-;UD+;UD-
2;Philippe;Campagne,;8;0;0;0;0;0;0;0;0;0;0;0;
Vainqueur: J 2
Tour 2
Joueur;Dimension;Loco;Conduite;Equi1;Equi2;Equi3
J 2;VehiculeIntermediaire;Pattes;Autonome;M KitDeReparation;P SynthetiseurDeSons;A Minibar
Joueur;Perso;Environnement;SR+;SR-;SD+;SD-;ER+;ER-;ED+;ED-;UR+;UR-;UD+;UD-
1;Dominik;Campagne,Ville;8;0;0;0;0;0;0;0;0;0;0;0;
Vainqueur: J 1
