Cartes rejetees
Joueur;Dimension;Locomotion;Equipement1;Equipement2;Equipement3
J 1;Monoplace;Ailes;SiegeEjectable;BrasArticules;CanonaPeinture
J 2;GrandVehiculeIntermediaire;Ballon;StudiodEnregistrement;EquipementsFitness;CoffreBlinde
Tour 1
Joueur;Dimension;Loco;Conduite;Equi1;Equi2;Equi3
J 1;GrandeCapacite;Pattes;Autonome;M Minibar;P OutillageDeChantier;A Cuisine
Joueur;Perso;Environnement;SR+;SR-;SD+;SD-;ER+;ER-;ED+;ED-;UR+;UR-;UD+;UD-
2;Aurelie;Banlieue,;8;0;0;0;0;0;0;0;0;0;0;0;
Vainqueur: J 2
Tour 2
Joueur;Dimension;Loco;Conduite;Equi1;Equi2;Equi3
J 2;GrandeCapacite;Flottaison;Attention Requise;M Toboggan;P KitDeSoinsdUrgence;A CentraleDeRecyclage
Joueur;Perso;Environnement;SR+;SR-;SD+;SD-;ER+;ER-;ED+;ED-;UR+;UR-;UD+;UD-
1;Agathe;Campagne,;8;0;0;0;0;0;0;0;0;0;0;0;
Vainqueur: J 1
