Cartes rejetees
Joueur;Dimension;Locomotion;Equipement1;Equipement2;Equipement3
J 1;Monoplace;Helices;OutillageDeChantier;FlotteDecentralisee;KitDeChangementdApparence
J 2;VehiculeLourd;Rebondir;CentraleDeRecyclage;StudiodEnregistrement;ScanneraRayonsX
Tour 1
Joueur;Dimension;Loco;Conduite;Equi1;Equi2;Equi3
J 2;PetitRobot;Ballon;;M OutilDePiratageNumerique;P Imprimante3D;A SystemedArrosage
Joueur;Perso;Environnement;SR+;SR-;SD+;SD-;ER+;ER-;ED+;ED-;UR+;UR-;UD+;UD-
1;Mathilde;Campagne,;8;0;0;0;0;0;0;0;0;0;0;0;
Vainqueur: J 1
Tour 2
Joueur;Dimension;Loco;Conduite;Equi1;Equi2;Equi3
J 1;VehiculeIntermediaire;Chenilles;Autonome;M SondesDeMesure;P SystemedEclairage;A Pass
Joueur;Perso;Environnement;SR+;SR-;SD+;SD-;ER+;ER-;ED+;ED-;UR+;UR-;UD+;UD-
2;Christine;Ville;8;0;0;0;0;0;0;0;0;0;0;0;
Vainqueur: J 2
